DUID,bus_i,mean_scada_MW,peak_scada_MW,coverage_ratio
BROKENH1,6,11.746544039288432,53.432520000000004,1.0
CRWASF1,6,6.996682598078386,30.47151,1.0
DARLSF1,6,61.92655727768265,275.2301033333333,1.0
GNNDHSF1,6,28.04581155917047,107.18097333333333,1.0
GULLRSF1,6,2.2076212477168955,10.0,1.0
SEBSF1,6,21.113241572203194,90.12871,1.0
WELLSF1,6,43.92668765116058,170.19404666666665,1.0
WYASF1,6,5.650548265685104,51.922333333333334,0.5737442922374429
BERYLSF1,13,22.20702276379376,87.01116999999999,1.0
COLEASF1,13,35.678848728976405,148.46531666666667,1.0
GRIFSF1,13,7.435864789127684,27.366038333333336,0.9999143835616439
JEMALNG1,13,12.607276581335617,51.02,1.0
JUNEESF1,13,6.853432261225266,30.065659999999998,1.0
LIMOSF11,13,48.386629527016744,220.93492,1.0
NEVERSF1,13,28.569257089421612,105.13333333333333,1.0
HILLSTN1,18,22.383939248097413,85.16539999999999,1.0
MLSP1,18,2.6992399821868736,13.151001,0.9957191780821918
MOLNGSF1,18,4.0743077483828,30.01877,1.0
NEWENSF1,18,24.5488688325723,211.00375333333332,1.0
NYNGAN1,18,24.511378786149166,101.63566666666668,1.0
PARSF1,18,12.135935463470322,50.76727333333333,1.0
SUNTPSF1,18,34.73284600447108,140.80679999999998,1.0
BOMENSF1,25,20.783090256944448,100.05096666666667,1.0
FINLYSF1,25,30.727045404204723,135.30377666666666,1.0
GOONSF1,25,14.848680425799088,68.89387333333333,1.0
LIMOSF21,25,6.5050902988013695,29.15709,1.0
NEWENSF2,25,34.81395777635084,210.29572,1.0
ROYALLA1,25,3.8303845638114185,19.81000166666667,0.9751997716894977
WAGGNSF1,25,7.652401386605784,48.517590000000006,1.0
AVLSF1,30,28.78703566880405,188.47356,0.7655251141552512
MANSLR1,30,5.083266000761035,45.84233333333333,1.0
METZSF1,30,29.676676159151445,115.44133333333333,1.0
MOREESF1,30,16.41562735083714,56.074000000000005,1.0
SUNRSF1,30,45.92418145662101,199.7879066666667,1.0
WRSF1,30,4.031666522450533,19.858946666666668,1.0
WSTWYSF1,30,17.592572929414004,91.41726,1.0
